swimmerID,initial,surname,swimCategory,teamRef
ENG-A1,F,Adams,Advanced,ENG
ENG-A2,G,King,Advanced,ENG
ENG-A3,L,Slorance,Advanced,ENG
ENG-A4,J,Smith,Advanced,ENG
ENG-I1,A,Jackson,Intermediate,ENG
ENG-I2,D,Chaudhry,Intermediate,ENG
ENG-I3,T,Rivani,Intermediate,ENG
ENG-I4,M,Abbott,Intermediate,ENG
NIR-A1,D,Brown,Advanced,NIR
NIR-A2,L,Kelly,Advanced,NIR
NIR-A3,C,Hicks,Advanced,NIR
NIR-A4,R,Hudson,Advanced,NIR
NIR-I1,S,Johnston,Intermediate,NIR
NIR-I2,M,McGowan,Intermediate,NIR
NIR-I3,F,Miller,Intermediate,NIR
NIR-I4,B,Murphy,Intermediate,NIR
SCO-A1,D,Ballantyne,Advanced,SCO
SCO-A2,L,Bishop,Advanced,SCO
SCO-A3,D,Tsang,Advanced,SCO
SCO-A4,V,Rose,Advanced,SCO
SCO-I1,I,Arthur,Intermediate,SCO
SCO-I2,K,Kahn,Intermediate,SCO
SCO-I3,A,McDonald,Intermediate,SCO
SCO-I4,S,Anderson,Intermediate,SCO
WAL-A1,S,Adams,Advanced,WAL
WAL-A2,C,Jones,Advanced,WAL
WAL-A3,W,Hudson,Advanced,WAL
WAL-A4,E,Shearer,Advanced,WAL
WAL-I1,M,Davis,Intermediate,WAL
WAL-I2,E,Jones,Intermediate,WAL
WAL-I3,R,McGregor,Intermediate,WAL
WAL-I4,E,Ripley,Intermediate,WAL
