id,lastName,firstName,house,year,age
1,Davies,Kieran,1,S4,15
2,Frost,Ethan,4,S5,16
3,MacKechnie,Eilidh,2,S2,13
4,O'Carroll,Seumas,4,S1,12
5,MacArthur,Seumas,4,S4,15
6,Allan,Charlie,3,S3,14
7,Hill,Aimee,2,S6,17
8,O'Carroll,Erin,1,S6,17
9,MacIsaac,Sharon,4,S1,12
10,Stone,Seumas,2,S1,12
11,MacLeod,Brian,4,S3,14
12,Burgess,Emily,1,S4,15
13,Russell,Daniel,4,S6,17
14,Robinson,Jean,2,S3,14
15,MacDougall,Claire,4,S3,14
16,Hill,Jean,2,S2,13
17,Peters,Ella,2,S3,14
18,Higgins,Donald,1,S6,17
19,MacDonald,Mairead,3,S1,12
20,Young,Lynn,2,S6,17
21,Grant,Innes,4,S2,13
22,Green,Peter,1,S5,16
23,Hawkings,Copper,3,S6,17
24,MacIsaac,William,3,S3,14
25,Grant,Richard,3,S4,15
26,Kennedy,Hudson,3,S5,16
27,Nicholson,Oliver,3,S3,14
28,Campbell,Robbie,4,S4,15
29,MacIsaac,Graham,4,S5,16
30,Murray,Iain Ruairidh,1,S6,17
31,Shepherd,Sam,1,S5,16
32,Marshall,Craig,4,S4,15
33,Stewart,Miyah,1,S2,13
34,Cooper,Robbie,2,S5,16
35,O'Carroll,Douglas,4,S5,16
36,Clark,Brian,1,S6,17
37,Scott,Sam,1,S2,13
38,Frost,Lincoln,2,S1,12
39,Blake,Ella,2,S4,15
40,Galbraith,Mason,4,S3,14
41,Yates,Caitlin,4,S4,15
42,Thomas,Mary,4,S4,15
43,Hughes,Donald,3,S2,13
44,MacKechnie,Peter,3,S5,16
45,Ferguson,George,1,S5,16
46,Stokes,Caitlin,4,S5,16
47,Miller,Seonaidh,1,S2,13
48,Newton,Emily,1,S6,17
49,Monk,Gary,1,S6,17
50,Hughes,Summer,2,S5,16
51,Walker,Lewis,4,S5,16
52,MacArthur,Michael,4,S5,16
53,Allan,Adam,2,S3,14
54,MacKinnon,Aimee,4,S3,14
55,MacArthur,Richard,3,S6,17
56,Simpson,Kevin,1,S1,12
57,Hawkings,Niamh,3,S1,12
58,Warren,Robert,3,S2,13
59,Simpson,Stuart,3,S6,17
60,Docherty,Patrick,2,S3,14
61,Murray,Peter,3,S2,13
62,Stokes,Copper,1,S5,16
63,Peters,Lacey,4,S3,14
64,Reid,Finlay,4,S1,12
65,MacIain,Lorna,3,S6,17
66,Hughes,Erin,3,S3,14
67,Daly,Patrick,3,S5,16
68,Newton,Lynn,4,S2,13
69,Scott,Lacey,2,S1,12
70,Edwards,Hannah,4,S6,17
71,MacNeil,Owen,4,S3,14
72,Hunter,Oliver,4,S4,15
73,Stone,Peter,2,S2,13
74,Smyth,Dominic,3,S2,13
75,Gillies,Hudson,3,S2,13
76,Stone,Jennifer,4,S2,13
77,Paterson,Michael,2,S4,15
78,Boyd,Ethan,4,S3,14
79,Shepherd,Sarah,3,S3,14
80,MacIain,Kevin,3,S3,14
81,Austin,Donald,1,S5,16
82,Jones,Aonghas,1,S2,13
