id,lastName,firstName,house,year,age
1,Friend,Christ,1,S5,16
2,Hughes,Ruairidh,1,S4,15
3,Goodwin,Darren,4,S1,12
4,Edwards,Mason,4,S2,13
5,Smyth,Brian,2,S6,17
6,Davidson,Vincent,4,S2,13
7,Morrison,Kevin,1,S1,12
8,Daly,Sophie,4,S2,13
9,Henderson,Andrew,1,S3,14
10,Gillies,Linda,2,S6,17
11,Black,Derek,3,S5,16
12,Brown,James,4,S1,12
13,MacIsaac,George,2,S2,13
14,Davies,Caralisa,2,S4,15
15,Griffin,Mark,1,S6,17
16,Hamilton,Micheal,2,S5,16
17,Duncan,Domhnall,1,S1,12
18,Hunter,Adam,3,S1,12
19,Thomas,Brian,1,S1,12
20,Gray,Ian,4,S4,15
21,MacLean,Iain Ruiradh,4,S3,14
22,Bell,Steven,1,S1,12
23,Cooper,Danielle,3,S3,14
24,Thompson,Lisa,2,S5,16
25,Watson,Hugh,4,S2,13
26,Duncan,Finlay,4,S6,17
27,Jones,Zoey,3,S3,14
28,Bell,Caralisa,3,S5,16
29,Ferguson,Adam,2,S4,15
30,Graham,Margaret,3,S5,16
31,Campbell,Charles,2,S2,13
32,Porter,Louise,4,S6,17
33,Simpson,Emma,2,S5,16
34,Galbraith,Seumas,4,S3,14
35,MacKinnon,Aimee,4,S3,14
36,Howart,Alan,3,S5,16
37,Kelly,Danielle,4,S5,16
38,Warren,Angela,2,S6,17
39,Austin,Carol,3,S6,17
40,Hamilton,Christine,3,S4,15
41,MacLeod,John,4,S3,14
42,Ross,Linda,1,S1,12
43,Reid,Niamh,1,S6,17
44,MacIsaac,Karen,3,S6,17
45,Paterson,Lisa,2,S5,16
46,Galbraith,Mason,4,S3,14
47,Hill,Carol,1,S2,13
48,MacNeil,Owen,4,S3,14
49,MacIsaac,Richard,2,S4,15
50,Irving,Mairead,2,S2,13
51,Stewart,Sandra,4,S1,12
52,Friend,Aonghas,2,S3,14
53,Blake,Alanna,2,S5,16
54,Goodwin,Helen,3,S2,13
55,Daly,Anthony,4,S3,14
56,MacDonald,Wendy,4,S2,13
57,Blackie,Alistair,3,S1,12
58,Frost,Ruairidh,1,S6,17
59,MacLeod,Michael,4,S3,14
60,Gillies,Sandra,4,S1,12
61,Stone,Charlie,1,S3,14
