id,lastName,firstName,house,year,age
1,MacNeil,Craig,4,S4,13
2,MacLeod,Julia,3,S1,12
3,Friend,Calum,1,S4,15
4,Paterson,Roderick,4,S5,16
5,Docherty,Alexander,4,S6,17
6,Smiley,Patrick,2,S6,17
7,Campbell,Aimee,4,S6,17
8,Ferguson,Aonghas,2,S6,17
9,Irving,Stewart,1,S3,14
10,MacDonald,Aonghas,4,S5,16
11,Smyth,Lewis,2,S6,17
12,Young,Kieran,3,S2,13
13,Robertson,Callum,2,S3,14
14,Walker,Darren,2,S1,12
15,MacLean,Alexander,4,S4,12
16,Walker,India,2,S5,16
17,Davidson,India,3,S5,16
18,Small,Domhnall,1,S2,13
19,Small,Jamie,4,S1,12
20,Clark,Stewart,3,S3,14
21,MacLean,Patrick,4,S5,15
22,Galbraith,Seonaidh,1,S4,15
23,MacNeil,Aonghas,2,S5,16
24,Millar,Maddison,3,S6,17
25,Wilson,Simon,2,S4,15
26,Nicholson,Patrick,2,S5,16
27,Davidson,Anthony,3,S2,13
28,Ferguson,Robbie,4,S6,17
29,Smith,Rowan,3,S4,15
30,MacIain,Mason,3,S2,13
31,McIntyre,Maddison,2,S3,14
32,Kearney,Miyah,1,S2,13
33,Irving,Ryan,1,S2,13
34,MacDonald,Caitlin,3,S5,16
35,Monk,Samuel,4,S4,12
36,Thomson,Ethan,2,S5,16
37,Galbraith,Ian,2,S2,13
38,Simpson,Innes,1,S3,14
39,Brown,Rowan,3,S5,16
40,Daly,Mairi,3,S4,15
41,Smiley,Caitlin,3,S2,13
42,MacIain,Callum,4,S4,15
43,Friend,Robbie,3,S1,12
44,Henderson,Andrew,4,S5,16
45,MacKinnon,Roderick,3,S5,16
46,Blake,Oliver,1,S1,12
47,Johnson,James,4,S4,15
48,Grant,Thomas,3,S5,16
49,Mitchell,India,4,S4,15
50,Docherty,Ethan,2,S4,15
51,Kearney,Shelly,1,S2,13
52,MacKinnon,Ruairidh,4,S1,12
53,Mitchell,Ava,2,S5,16
54,Daly,Calum,1,S2,13
55,Galbraith,Mairi,2,S5,16
56,Brown,Andrew,3,S3,14
57,McGuire,India,1,S4,15
58,MacIain,Shelly,3,S1,12
59,Campbell,Micheal,3,S3,14
60,Johnson,Ross,2,S6,17
61,Irving,Lewis,4,S4,15
62,Simpson,Oliver,4,S4,15
63,MacArthur,Michael,4,S4,14
64,Ferguson,Callum,4,S4,15
65,Docherty,Alan,4,S3,14
66,Henderson,Calum,4,S5,16
67,MacNeil,Miyah,2,S6,17
68,Irving,Craig,2,S1,12
69,Smiley,Simon,1,S2,13
70,Wilson,Erin,4,S6,17
71,MacKinnon,Angus,4,S6,17
72,Irving,Rowan,4,S4,15
73,Blackie,Lincoln,4,S4,14
74,Campbell,Craig,2,S5,16
75,Brown,John,3,S1,12
76,MacArthur,Innes,4,S3,14
77,Robertson,James,3,S6,17
78,Robertson,Robbie,1,S6,17
79,Blake,Ava,3,S4,15
80,MacDonald,Aonghas,1,S5,16
81,Nicholson,Innes,4,S4,15
82,Friend,Ian,4,S4,15
83,MacArthur,Alanna,1,S1,12
84,Johnson,Ross,2,S6,17
85,Daly,Oliver,3,S4,15
86,MacDougall,Oliver,1,S6,17
87,Blackie,Innes,2,S5,16
88,Daly,Dominic,3,S5,16
89,Henderson,Niamh,1,S3,14
90,Blake,Stewart,2,S1,12
91,Smyth,James,3,S6,17
92,Nicholson,Ian,2,S4,15
93,Holby,Sally,4,S4,11
94,Ferguson,Julia,1,S3,14
95,Clark,Aonghas,3,S3,14
96,Young,Jamie,1,S5,16
97,Blake,Simon,1,S2,13
98,Millar,Oliver,3,S2,13
99,MacNeil,Sophie,2,S2,13
100,Kearney,Rachel,4,S5,16
101,Grant,Caralisa,3,S4,15
102,Grant,Alexander,3,S5,16
103,Smith,Aonghas,1,S5,16
104,Thomson,Mairi,2,S2,13
105,Ferguson,Dominic,2,S4,15
106,Boyd,Roderick,2,S3,14
107,Blackie,Rowan,4,S6,17
108,Galbraith,Domhnall,4,S1,12
109,Jones,Simon,3,S3,14
110,Thomson,Lincoln,3,S6,17
111,MacIsaac,Craig,2,S4,15
112,MacDougall,Anthony,4,S3,14
113,Galbraith,John,2,S4,15
114,Thomson,Liam,4,S4,15
115,MacArthur,Ross,1,S6,17
116,Mitchell,Liam,4,S6,17
117,Docherty,Lacey,3,S4,15
118,Thomson,Micheal,3,S4,15
119,Stewart,Andrew,3,S4,15
120,Wilson,Innes,1,S6,17
121,MacIsaac,Mairi,2,S4,15
122,Campbell,Robbie,4,S4,16
123,Daly,Thomas,4,S3,14
124,Henderson,Ruairidh,1,S5,16
