address_id,pupil_id,first_line,town,postcode,phone
1,1,25 Cleat,Isle of Barra,HS9 5XT,01871 810306
2,2,78 Earsary,Isle of Barra,HS9 5UR, 01871 890714
3,3,62 Castlebay,Isle of Barra,HS9 5UT, 01871 817352
4,4,75 Castlebay,Isle of Barra,HS9 5XA, 01871 810466
5,5,42 Leanish,Isle of Barra,HS9 5XW, 01871 810365
6,6,45 Cleat,Isle of Barra,HS9 5UY, 01871 890561
7,7,59 Cleat,Isle of Barra,HS9 5YY, 01871 817173
8,8,63 Scurrival,Isle of Barra,HS9 5UW, 01871 810689
9,9,81 Cleat,Isle of Barra,HS9 5YT, 01871 810747
10,10,30 Scurrival,Isle of Barra,HS9 5YN, 01871 810359
11,11,67 Tangasdale,Isle of Barra,HS9 5UD, 01871 817109
12,12,4 Horve,Isle of Barra,HS9 5YW, 01871 890517
13,13,20 Scurrival,Isle of Barra,HS9 5UP, 01871 817694
14,14,37 Horve,Isle of Barra,HS9 5XN, 01871 810414
15,15,89 Garrygall,Isle of Barra,HS9 5XL, 01871 817834
16,16,26 Craigston,Isle of Barra,HS9 5XD, 01871 810158
17,17,34 Glen,Isle of Barra,HS9 5YA, 01871 890404
18,18,38 Borve,Isle of Barra,HS9 5XR, 01871 817866
19,19,45 Craigston,Isle of Barra,HS9 5UT, 01871 817636
20,20,34 Vatersay,Isle of Barra,HS9 5YR, 01871 890403
21,21,65 Skallary,Isle of Barra,HS9 5XJ, 01871 810871
22,22,49 Northbay,Isle of Barra,HS9 5YY, 01871 817255
23,23,53 Nask,Isle of Barra,HS9 5YL, 01871 890114
24,24,59 Cleat,Isle of Barra,HS9 5YY, 01871 817173
25,25,46 Tangasdale,Isle of Barra,HS9 5UR, 01871 817718
26,26,6 Bolnabodach,Isle of Barra,HS9 5XA, 01871 890726
27,27,27 Vatersay,Isle of Barra,HS9 5YP, 01871 810453
28,28,25 Leanish,Isle of Barra,HS9 5XA, 01871 890413
29,29,16 Allasdale,Isle of Barra,HS9 5UT, 01871 890529
30,30,93 Bolnabodach,Isle of Barra,HS9 5UA, 01871 810225
31,31,81 Garrygall,Isle of Barra,HS9 5YZ, 01871 890414
32,32,98 Scurrival,Isle of Barra,HS9 5XT, 01871 810885
33,33,48 Vatersay,Isle of Barra,HS9 5YB, 01871 817170
34,34,13 Vatersay,Isle of Barra,HS9 5YY, 01871 817921
35,35,56 Brevig,Isle of Barra,HS9 5YP, 01871 817385
36,36,73 Craigston,Isle of Barra,HS9 5YQ, 01871 890450
37,37,38 Nask,Isle of Barra,HS9 5UL, 01871 817857
38,38,5 Northbay,Isle of Barra,HS9 5XW, 01871 890373
39,39,23 Glen,Isle of Barra,HS9 5YX, 01871 890464
40,40,64 Castlebay,Isle of Barra,HS9 5UW, 01871 890679
41,41,66 Skallary,Isle of Barra,HS9 5YA, 01871 817464
42,42,45 Borve,Isle of Barra,HS9 5XP, 01871 817232
43,43,69 Bruernish,Isle of Barra,HS9 5UW, 01871 890711
44,44,54 Eoligarry,Isle of Barra,HS9 5YH, 01871 810536
45,45,2 Eoligarry,Isle of Barra,HS9 5XD, 01871 890213
46,46,84 Bruernish,Isle of Barra,HS9 5YY, 01871 810736
47,47,57 Earsary,Isle of Barra,HS9 5YB, 01871 890771
48,48,30 Bolnabodach,Isle of Barra,HS9 5YR, 01871 810294
49,49,67 Earsary,Isle of Barra,HS9 5UJ, 01871 810111
50,50,35 Bruernish,Isle of Barra,HS9 5YU, 01871 890649
51,51,59 Allasdale,Isle of Barra,HS9 5XP, 01871 817615
52,52,76 Cleat,Isle of Barra,HS9 5XW, 01871 817553
53,53,77 Tangasdale,Isle of Barra,HS9 5YJ, 01871 810321
54,54,15 Borve,Isle of Barra,HS9 5YL, 01871 810650
55,55,11 Leanish,Isle of Barra,HS9 5YR, 01871 810551
56,56,34 Bruernish,Isle of Barra,HS9 5UA, 01871 810129
57,57,27 Glen,Isle of Barra,HS9 5UD, 01871 890686
58,58,19 Tangasdale,Isle of Barra,HS9 5YD, 01871 890237
59,59,76 Skallary,Isle of Barra,HS9 5XN, 01871 890106
60,60,26 Earsary,Isle of Barra,HS9 5XJ, 01871 817190
61,61,12 Borve,Isle of Barra,HS9 5UX, 01871 810188
62,62,25 Allasdale,Isle of Barra,HS9 5UU, 01871 810223
63,63,79 Garrygall,Isle of Barra,HS9 5XZ, 01871 890559
64,64,45 Tangasdale,Isle of Barra,HS9 5XP, 01871 817293
65,65,57 Eoligarry,Isle of Barra,HS9 5UD, 01871 817559
66,66,31 Cleat,Isle of Barra,HS9 5XW, 01871 890433
67,67,6 Leanish,Isle of Barra,HS9 5XP, 01871 890743
68,68,87 Leanish,Isle of Barra,HS9 5XB, 01871 890971
69,69,79 Bruernish,Isle of Barra,HS9 5YN, 01871 890820
70,70,67 Scurrival,Isle of Barra,HS9 5UQ, 01871 810208
71,71,67 Vatersay,Isle of Barra,HS9 5UR, 01871 817207
72,72,43 Skallary,Isle of Barra,HS9 5YU, 01871 810148
73,73,69 Cleat,Isle of Barra,HS9 5UH, 01871 890186
74,74,41 Bolnabodach,Isle of Barra,HS9 5UQ, 01871 810573
75,75,98 Garrygall,Isle of Barra,HS9 5XR, 01871 810663
76,76,69 Bruernish,Isle of Barra,HS9 5UW, 01871 890711
77,77,53 Northbay,Isle of Barra,HS9 5YA, 01871 810155
78,78,59 Nask,Isle of Barra,HS9 5XU, 01871 817177
79,79,59 Bruernish,Isle of Barra,HS9 5UL, 01871 810575
80,80,11 Cleat,Isle of Barra,HS9 5YP, 01871 810646
