staff_id,title,last_name,role
1,Miss,Adams,Teacher
2,Mr,Barton,Teacher
3,Mrs,Bassinger,Teacher
4,Mr,Baxter,Teacher
5,Miss,Bettany,SfLA
6,Miss,Betterton,Secretary
7,Mrs,Booth,Teacher
8,Mrs,Briscoe,Teacher
9,Mr,Brisley,Teacher
10,Mr,Bronson,Teacher
11,Miss,Brooks,Teacher
12,Mr,Butterworth,Teacher
13,Miss,Carver,Teacher
14,Miss,Clarke,Teacher
15,Mrs,Cooney,Cleaner
16,Mr,Curtis,Head of Year
17,Mr,Dean,Teacher
18,Mr,Devereaux,Teacher
19,Mrs,Dunlop,Teacher
20,Mrs,Dunne,Teacher
21,Miss,Dyson,Teacher
22,Mrs,Evans,Teacher
23,Mr,Foster,Teacher
24,Miss,Fraser,Teacher
25,Mr,Garfield,Janitor
26,Miss,Gayle,Deputy Head Teacher
27,Mrs,Girling,Teacher
28,Miss,Gordon,Teacher
29,Mrs,Gossage,Secretary
30,Mr,Greenman,Janitor
31,Miss,Griffiths,Teacher
32,Mr,Griffiths,Janitor
33,Mr,Hankin,Teacher
34,Mr,Hargreaves,Teacher
35,Mrs,Harris,Cleaner
36,Miss,Hartley,Teacher
37,Mrs,Harvey,Teacher
38,Mr,Hicks,Teacher
39,Mrs,Holmes,Teacher
40,Mr,Hopwood,Teacher
41,Mr,Howard,Head of Year
42,Miss,Janet,Secretary
43,Miss,Janowitz,Teacher
44,Mr,Jones,Teacher
45,Mrs,Jones,Teacher
46,Miss,Jordan,Teacher
47,Mrs,Joseph,Business Manager
48,Mr,Keating,Teacher
49,Mrs,Keele,Head Teacher
50,Mrs,Kennedy,Teacher
51,Mr,King,Teacher
52,Mr,Knowles,Teacher
53,Madame,Lefevre,Teacher
54,Mr,Legge,Teacher
55,Miss,Lexington,Teacher
56,Mrs,Maguire,Secretary
57,Mr,Malachy,Teacher
58,Mr,Malcolm,Teacher
59,Mr,Manyeke,Teacher
60,Miss,Mather,Teacher
61,Mr,McCartney,Teacher
62,Miss,McCluskey,Deputy Head Teacher
63,Mr,McDonnell,Teacher
64,Mr,McGuffey,Teacher
65,Miss,McIlroy,Office Manager
66,Mr,McKenzie,Teacher
67,Miss,Miles,Teacher
68,Mr,Mitchell,Janitor
69,Mr,Mitchell,Teacher
70,Mrs,Monroe,Teacher
71,Miss,Mooney,Teacher
72,Mrs,Moorcroft,Teacher
73,Miss,O'Keefe,Nurse
74,Mr,Parkes,Teacher
75,Mr,Parrott,Teacher
76,Miss,Parsons,Teacher
77,Miss,Partridge,Teacher
78,Miss,Peterson,Teacher
79,Mr,Price,Teacher
80,Mr,Rankin,Teacher
81,Ms,Rawlinson,Teacher
82,Mr,Raynesford,Teacher
83,Mrs,Reagan,Teacher
84,Mr,Robson,Teacher
85,Miss,Saunders,Teacher
86,Mrs,Schubert,Teacher
87,Mr,Scott,Teacher
88,Mr,Scott,Janitor
89,Mr,Smart,Teacher
90,Mrs,Stone,Teacher
91,Miss,Summers,Teacher
92,Mr,Sutcliffe,Teacher
93,Mr,Swindells,Teacher
94,Mrs,Thomas,Teacher
95,Mr,Thompson,Janitor
96,Mr,Urdy,Teacher
97,Mr,van der Groot,Teacher
98,Miss,Washington,Teacher
