prisonID,surname,forename,hair,eyes,height,conviction,open,dob
1958831,Irving,Lewis,White,Black,2.39,Vandalism,TRUE,1998-11-22
4855253,MacLean,Ciara,Blond,Amber,1.97,Extortion,TRUE,1965-02-01
4168687,Millar,Shelly,None,Brown,1.83,Burglary,TRUE,1993-01-23
3716964,Clark,Shelly,Grey,Hazel,1.82,Extortion,FALSE,2004-10-17
2338713,Docherty,Shelly,Red,Brown,2.07,Robbery,TRUE,1967-04-07
3819083,Wilson,Angus,White,Green,2.4,Shoplifting,FALSE,1962-11-28
3914130,Davidson,Ruairidh,Red,Amber,1.66,Cyberbullying,FALSE,1996-02-21
3596960,Campbell,Erin,Grey,Hazel,1.64,Theft,FALSE,1962-04-12
2869675,Grant,Stewart,Red,Grey,1.77,Fraud,FALSE,1989-10-26
2214496,Brown,Findlay,White,Green,2.3,Vandalism,TRUE,1990-08-01
3904861,Walker,Lewis,Black,Brown,1.71,Theft,TRUE,1971-02-14
2539273,Paterson,Liam,Red,Brown,1.97,Hacking,TRUE,1998-07-03
2073258,Grant,Angus,Black,Hazel,2.14,Shoplifting,TRUE,1975-07-10
2520012,MacLeod,Dominic,Grey,Amber,2.01,Fraud,FALSE,1965-10-12
3159109,Monk,Shelly,Blond,Black,2.1,Burglary,TRUE,1966-09-05
2740565,MacDougall,Ryan,None,Green,2.01,Theft,TRUE,1974-10-11
1256309,MacNeil,Donald,White,Grey,1.53,Arson,TRUE,1979-08-16
2159513,Paterson,Erin,Red,Black,2.32,Kidnapping,TRUE,1993-06-18
3001238,Wilson,Alanna,None,Grey,1.71,Theft,TRUE,1983-02-22
3607156,Millar,Darren,Red,Grey,2.04,Cyberbullying,FALSE,1996-06-20
4967731,Brown,Kieran,Blond,Blue,1.48,Bribery,FALSE,1992-04-04
3276029,Brown,Dominic,Brown,Blue,1.33,Fraud,TRUE,1984-11-05
1401125,Walker,Anthony,Black,Black,2.09,Extortion,TRUE,1963-06-07
3824690,Simpson,Ryan,Brown,Grey,2.47,Extortion,TRUE,1978-05-25
4662416,MacNeil,Domhnall,Red,Amber,1.39,Drugs,TRUE,1985-09-30
1913947,Monk,Vincent,Blond,Hazel,2.0,Arson,TRUE,1986-10-03
1117839,Henderson,James,None,Grey,1.76,Shoplifting,TRUE,1975-01-25
4591874,MacIain,Darren,White,Grey,1.64,Burglary,TRUE,1987-09-16
1915684,MacKinnon,Shelly,Red,Grey,2.36,Extortion,FALSE,1967-02-22
1799913,Robertson,Vincent,White,Green,1.62,Cyberbullying,FALSE,1971-11-07
2567504,Millar,John,Brown,Amber,1.36,Theft,TRUE,1969-06-08
4773605,Small,Simon,Black,Brown,2.08,Arson,TRUE,1995-10-08
1382683,Henderson,Ruairidh,White,Brown,1.31,Fraud,TRUE,1979-12-16
1587973,Henderson,Domhnall,Red,Green,2.05,Kidnapping,TRUE,2001-11-04
3192265,Millar,Miyah,Blond,Amber,2.11,Kidnapping,TRUE,1962-05-23
2390756,Galbraith,Julia,Grey,Green,2.22,Bribery,TRUE,1999-05-06
